event_id,member,stations,energy_EeV,theta_deg,baseline_rmse_ns,h_rmse_ns,h_ratio,best_spacing,best_ratio
90806991400,data/PAO090322.json,18,71.7,44.4,619.6976735469391,727.2919180404907,1.1736237670180665,0.5800000000000001,0.7288850370751846
101480978600,data/PAO100528.json,19,83.3,52.2,106.78325338627438,140.64507870987833,1.3171080131929793,0.8600000000000001,0.7927387803534038
173613697300,data/PAO171227.json,23,91.1,46.9,201.52877522663724,218.96919689767773,1.086540602707614,0.4,0.8169861405179039
132478291200,data/PAO130905.json,22,91.8,54.7,159.11491606850296,183.57394087215968,1.1537192452348497,0.66,0.9233895193990062
73145618700,data/PAO071111.json,54,59.0,76.7,36.10146426678072,37.532860117224686,1.03964924635373,0.54,1.0153852226084734
73451288300,data/PAO071211.json,21,78.4,51.6,199.9744298572255,273.44104113096046,1.3673800261672828,0.8600000000000001,0.9790931588624281
102843634000,data/PAO101011.json,18,101.0,48.6,116.91783435820372,208.24676616130444,1.7811377306501783,0.92,0.7530937203588877
110266561800,data/PAO110127.json,14,115.8,24.9,191.37072434088233,292.30567240716016,1.5274314993263325,1.08,0.6160605077301413
112211797700,data/PAO110809.json,13,90.6,3.5,473.7403204735322,990.580170925828,2.090977119987767,0.56,1.2189926928298063
112946143700,data/PAO111022.json,16,78.6,31.9,191.10527059496465,195.79316589053226,1.0245304343567965,0.7,0.6714094703288407
191176993500,data/PAO190428.json,13,132.6,14.8,156.6226154097673,353.8220053953932,2.2590735346214132,0.64,0.9827995679238368
43390608100,data/PAO041204.json,21,90.2,44.5,271.3396261962424,305.9585677464913,1.1275852776667838,0.5800000000000001,0.9052642072840197
192033457700,data/PAO190722.json,16,93.5,24.5,142.04635404890644,177.6837542008468,1.250885708334833,0.78,0.7550743785175181
193400643100,data/PAO191206.json,16,101.2,36.1,320.7528722003806,485.87159254426365,1.5147848535576953,1.6600000000000001,0.9122944736757316
143534401300,data/PAO141220.json,22,92.5,52.3,339.3444048099765,392.96975606600154,1.1580263310545926,0.42000000000000004,0.8662175282406664
41423234800,data/PAO040521.json,33,86.2,59.2,124.37905595981493,131.6588518663926,1.0585291136871924,0.52,0.9784102568513634
111061311000,data/PAO110416.json,60,90.6,78.2,31.208896633306843,33.63739966691592,1.0778144470194861,0.72,0.89588217786574
60053798500,data/PAO060105.json,15,81.8,30.9,152.85674319881636,364.47670921974543,2.3844333039706407,0.9,0.9124470140836629
180073811000,data/PAO180107.json,17,82.2,38.0,135.21903096656797,203.80059894798273,1.5071887255157974,2.2600000000000002,0.9198280124910486
190862492100,data/PAO190327.json,29,79.3,68.8,638.3378349989056,722.4491798531609,1.1317661906322685,0.5,1.015923908534603
140305579500,data/PAO140131.json,30,77.8,60.8,142.21756987898326,161.50068563115084,1.1355888429859693,1.0,0.8533827304496053
112030924100,data/PAO110722.json,12,92.7,29.5,184.72790826621463,212.65479656300073,1.151178501174496,0.78,0.6798312216670577
111776182400,data/PAO110627.json,16,50.2,43.1,339.8822857325351,611.0670212491236,1.7978784034952413,0.46,1.0673350087027758
160210414600,data/PAO160121.json,13,121.8,13.7,253.79284392492593,450.39307955477614,1.774648459702064,0.78,0.6156683633351465
82647336800,data/PAO080921.json,21,95.8,44.5,206.53075606391286,266.4558058988266,1.290150730946675,0.74,0.9049101654566314
121622030300,data/PAO120610.json,25,87.3,58.7,104.48337777133328,126.4254108235539,1.21000501247425,1.0,0.7612793565666711
182242127601,data/PAO180812.json,24,146.5,47.9,150.83914364451485,158.42124357356712,1.0502661295062847,0.62,0.8863659651413701
92747991300,data/PAO091002.json,75,92.9,79.4,30.05632013372231,30.3370663457852,1.0093406714732154,0.64,0.9616450128692616
162284959100,data/PAO160816.json,19,102.3,48.0,261.90554833228003,357.36162736218415,1.364467570991657,0.7,0.7399929575157577
142641379200,data/PAO140921.json,19,88.9,36.5,264.4141698824282,303.60440637047145,1.1482153415055978,0.56,0.802175349603968
203425618600,data/PAO201208.json,48,89.8,72.8,75.29928384556918,78.78469311613445,1.0462874159296585,0.52,0.977797717232231
172090621200,data/PAO170728.json,27,81.6,59.2,109.81034498860448,118.5764238969444,1.079829262982915,0.5,0.7572153824085305
82685012000,data/PAO080925.json,24,139.9,49.8,117.09248417667249,156.8355261590699,1.3394158238408538,1.44,0.8741204776517518
201411896900,data/PAO200520.json,31,83.3,65.7,88.96272009439235,103.75373532011615,1.1662608248716997,0.92,0.9099139255743779
173582966500,data/PAO171224.json,12,85.1,29.4,338.745190472623,1392.1174856709147,4.109630261402705,0.52,1.2953614500778494
61268623100,data/PAO060507.json,31,84.3,65.2,96.05982409838354,109.09691275484997,1.135718431496543,1.0,0.9273154605433308
152545857400,data/PAO150912.json,52,68.3,76.6,35.38491649315848,36.911157970195745,1.0431325442673394,0.62,0.9481333671150542
140650707000,data/PAO140306.json,22,130.6,58.5,60.41137355436104,73.81887732985359,1.2219367477785923,0.72,0.9261268203171605
131916667100,data/PAO130711.json,12,83.4,8.6,335.496433321859,645.3339054195935,1.9235194217414868,0.54,0.4343435882241362
61856616000,data/PAO060705.json,30,96.5,58.7,236.57970179019642,260.9757578597994,1.1031198191772085,0.4,1.0136810103404286
120811958300,data/PAO120321.json,20,104.3,47.4,205.99194621492924,219.11636043313106,1.0637132395676674,1.52,0.8867929398542043
183366086300,data/PAO181203.json,14,107.0,12.5,533.8146911944556,950.0152709347637,1.7796723968181245,1.6600000000000001,0.9571340179092723
130272787100,data/PAO130127.json,18,80.2,47.6,232.34045531144702,307.2089797628471,1.3222362818865985,0.74,1.0254288838950951
