id,x,y,z,t,dt,signalStartBin,signalStopBin,signal,curveResidual,dcurveResidual,risetime,spDistance,sat,waveform_peak_bin,waveform_centroid_bin,waveform_q10_bin,waveform_q50_bin,waveform_q90_bin,waveform_width_ns,xp_m,yp_m,radius_m,q,q_mod_h,t_centered_ns,pred_plane_ns,resid_plane_ns,pred_hyperbolic_ns,resid_hyperbolic_ns,pred_hyperbolic+h_ns,resid_hyperbolic+h_ns,pred_hyperbolic+free-spacing_ns,resid_hyperbolic+free-spacing_ns
584,-19884.1,1794.1,21.5,572722157,,242,692,52.6,,,,1014.4,0,242,266.8773190707003,242,244,330,2200.0,970.6725070771737,-295.75127618624117,1014.4,1.0727373772501,1.0727373772501,8538.0,8615.881099993725,-77.881099993725,8519.10539069804,18.894609301960372,8520.157996216485,17.842003783514883,8528.79562595702,9.204374042979907
563,-17637.8,475.7,18.0,572730666,,241,691,40.6,,,,1252.1,0,243,297.61226666666664,176,244,576,10000.0,942.9631420117762,-824.929483118851,1252.1,0.36597057885316886,0.36597057885316886,17047.0,17155.846994895343,-108.8469948953425,17042.186252678413,4.813747321586561,17039.08144026189,7.918559738111071,17049.186334633065,-2.186334633064689
1324,-22117.0,586.6,20.8,572717805,,242,692,38.7,,,,1187.1,0,243,276.070493173586,242,245,443,5025.0,-1186.8474354442365,-21.544946843133097,1187.1,-1.0541348322275028,0.2647242332349491,4186.0,4219.331121314704,-33.33112131470443,4159.284041272236,26.71595872776379,4168.460644681584,17.5393553184158,4160.99466972073,25.00533027927031
1352,-17646.0,-2126.0,12.5,572734870,,241,691,35.6,,,,1709.0,0,244,297.10152066823736,242,246,551,7725.0,-1318.7774244985908,-1082.4993078832601,1709.0,-1.3853751540489463,1.2523429768759575,21251.0,21338.067875474964,-87.06787547496424,21279.10543138742,-28.10543138741923,21276.25374378527,-25.253743785269762,21273.541639477382,-22.541639477381977
629,-25127.7,5703.3,42.8,572701020,,241,691,34.1,,,,2028.3,0,243,287.38813113184966,241,245,508,6675.0,1757.0085553428974,1011.1887559746217,2028.3,0.1535680085741929,0.1535680085741929,-12599.0,-12530.287391396052,-68.71260860394796,-12592.43580808345,-6.564191916550044,-12585.088837400246,-13.91116259975388,-12598.744813203693,-0.2551867963065888
484,-13890.8,-3402.8,4.0,572747645,,242,692,34.0,,,,1954.3,0,243,306.7248229740363,170,245,589,10475.0,-560.5037369093616,-1870.3166623447964,1954.3,-1.287017905142636,0.031841160319815875,34026.0,34050.52601902774,-24.526019027740404,34017.143582444165,8.856417555834923,34014.62630375778,11.373696242219012,34009.04698440054,16.953015599458013
632,-28132.8,5710.4,45.2,572692451,,241,691,33.9,,,,1564.1,0,244,262.06859311150026,241,245,278,925.0,269.71323977791053,1542.8298875757196,1564.1,1.251000511922247,1.251000511922247,-21168.0,-21093.727926737927,-74.27207326207281,-21167.333250695967,-0.6667493040331465,-21173.655268851016,5.655268851016444,-21172.56308035106,4.563080351061217
626,-27392.3,4400.3,41.4,572696641,,241,691,31.8,,,,1372.1,0,243,288.05285412262145,241,245,527,7150.0,-499.13706253981763,1282.0000137677687,1372.1,1.8697099762465252,0.5508509107840733,-16978.0,-16863.88773340686,-114.1122665931398,-16958.724572738494,-19.275427261505683,-16968.560274186366,-9.43972581363414,-16964.64882357077,-13.35117642923069
641,-26633.2,5713.2,42.3,572696685,,468,918,31.7,,,,1634.9,0,470,444.6311764705883,245,472,478,5825.0,1017.4051350042646,1279.8422329349287,1634.9,0.8415935037179207,0.8415935037179207,-16934.0,-16850.114547242218,-83.88545275778233,-16916.14474749417,-17.855252505829412,-16905.42819812101,-28.57180187898848,-16935.23131841442,1.231318414418638
1309,-19890.4,-811.5,15.9,572726421,,241,691,29.4,,,,1409.0,0,243,289.66992353440946,233,244,508,6875.0,-1293.5080941753808,-553.9567318994405,1409.0,-1.1642112729402152,0.1546477925222367,12802.0,12811.299506383208,-9.2995063832077,12754.99527883184,47.00472116815945,12758.840571890918,43.159428109082,12782.278072845445,19.721927154554578
1072,-26630.2,3110.8,37.3,572700917,,241,691,29.2,,,,1601.4,0,243,312.3384270578647,150,246,614,11600.0,-1239.3767589599515,1019.7243424047573,1601.4,1.873908149949679,0.5550490844872271,-12702.0,-12622.806878277237,-79.19312172276295,-12688.399801836473,-13.600198163527239,-12697.081619541952,-4.918380458047977,-12692.920179424655,-9.079820575345366
1313,-24395.2,1789.5,27.6,572709396,,241,691,25.7,,,,1367.2,0,243,259.8888888888889,242,244,252,250.0,-1275.2184495997299,498.32562564833137,1367.2,2.4036169517520714,1.0847578862896194,-4223.0,-4188.7835348654435,-34.21646513455653,-4232.9829362732935,9.98293627329349,-4227.428763553048,4.428763553048157,-4209.144008564171,-13.85599143582931
183,-13121.3,-4807.9,2.8,572752138,,241,691,24.2,,,,2566.2,0,244,248.07501769285213,243,246,251,200.0,-1397.3795124273393,-2148.492550253888,2566.2,-2.034824918436886,0.6028932124880177,38519.0,38544.744975504036,-25.74497550403612,38561.12631601505,-42.12631601504836,38552.18956289951,-33.18956289951166,38562.09121095477,-43.09121095477167
622,-28881.4,7032.4,46.1,572688215,,241,691,23.1,,,,2088.9,0,244,247.33830104321908,243,245,251,200.0,1044.8644619064044,1809.1452467785923,2088.9,0.42650575816316794,0.42650575816316794,-25404.0,-25401.240381516032,-2.7596184839676425,-25381.710448458663,-22.28955154133655,-25382.070734146404,-21.929265853596007,-25392.58228831073,-11.417711689271528
638,-29636.3,5710.9,46.9,572688206,,241,691,20.0,,,,1865.8,0,243,287.14293659621796,182,244,530,8700.0,-477.05322790033506,1808.0196324612295,1865.8,1.1588793832237565,1.1588793832237565,-25413.0,-25369.905900595648,-43.094099404352164,-25400.274263868025,-12.725736131975282,-25399.533271575547,-13.466728424453322,-25402.72829320455,-10.271706795450882
595,-22890.0,4404.4,35.2,572709442,,241,691,19.9,,,,1810.1,0,243,246.34488636363633,242,244,248,150.0,1741.9466405533574,489.53178462604393,1810.1,0.23203801211153327,0.23203801211153327,-4177.0,-4105.963114307404,-71.03688569259612,-4167.138806374296,-9.86119362570389,-4157.873633654254,-19.126366345745737,-4143.137414734739,-33.86258526526126
594,-20628.4,3087.7,26.2,572717985,,240,690,18.7,,,,1723.6,0,244,247.60494958753438,241,245,251,250.0,1723.3161783624082,-36.80493752627066,1723.6,0.14579328416999313,0.14579328416999313,4366.0,4419.990289979052,-53.99028997905225,4368.893727378212,-2.8937273782121338,4373.175000202489,-7.175000202489173,4362.433775824291,3.566224175709067
486,-14647.4,-2128.2,9.2,572743391,,240,690,16.6,,,,1620.7,0,242,244.81804842259717,242,244,247,125.0,169.53961104122573,-1611.6080207318696,1620.7,-0.6459653690836369,0.672893696378815,29772.0,29873.826706887256,-101.82670688725557,29771.49597901171,0.5040209882899944,29760.802186564713,11.197813435286662,29758.094201381096,13.905798618903646
611,-30377.1,7014.5,48.0,572684004,,240,690,16.5,,,,2088.1,0,243,246.6049723756906,242,244,249,175.0,286.0075067821872,2070.8850947177393,2088.1,0.673358407083796,0.673358407083796,-29615.0,-29598.68991291903,-16.310087080968515,-29588.049085180235,-26.950914819764876,-29593.7452455708,-21.254754429199238,-29584.862802902,-30.137197097999888
628,-27377.7,7010.2,51.2,572692561,,241,691,13.4,,,,2346.3,0,243,246.05594405594408,242,244,248,150.0,1772.8998140387498,1535.0583588077818,2346.3,-0.02723955889229651,1.2916195065701555,-21058.0,-20998.276993661526,-59.72300633847408,-21048.377829223144,-9.622170776856365,-21049.98863599521,-8.011364004789357,-21050.462877788654,-7.537122211346286
481,-11650.1,-4726.8,0.3,572756168,,241,691,12.4,,,,2473.4,0,244,249.6423658872077,243,245,251,200.0,-595.8556426953801,-2398.874473580708,2473.4,-1.7461660151618914,0.8915521157630124,42549.0,42586.706203066955,-37.70620306695491,42583.51541907824,-34.51541907824139,42599.27590431051,-50.27590431051067,42585.69996882005,-36.69996882005216
577,-18385.3,1779.8,18.3,572726497,,242,692,10.0,,,,1791.9,0,243,245.61910519951627,242,244,247,125.0,1703.128033882098,-560.0411664636537,1791.9,-0.12361939740101008,1.1952396680614419,12878.0,12884.324564402954,-6.324564402953911,12852.760353908323,25.23964609167706,12840.03056771765,37.96943228235068,12858.627420000781,19.372579999218942
